"completion_timestamp","previous_assignee","due_date","description","title","responsible_role","overridden_by","acknowledged_timestamp","event_id","override_flag","assigned_user","override_timestamp","category","progress_notes","status","order","id","created_date","updated_date","created_by_id","created_by","is_sample"
"","","","","Did we send it to supplier?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","6","6a71f9c4a17c407e2ee3889f","2026-08-04T14:40:04.247000","2026-08-04T14:40:04.247000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Add Ons: Logo'd aprons, glassware and Cheese board","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","5","6a71f9c4717b5f398be419c9","2026-08-04T14:40:04.173000","2026-08-04T14:40:04.173000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Participation List - Link","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","4","6a71f9c45ec3946a4a110e95","2026-08-04T14:40:04.092000","2026-08-04T14:40:04.092000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Workflow document","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","3","6a71f9c3b224eb219a477bd1","2026-08-04T14:40:03.998000","2026-08-04T14:40:03.998000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Is it documented in Fareharbor?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","2","6a71f9c3c7aaacd1df13e48a","2026-08-04T14:40:03.911000","2026-08-04T14:40:03.911000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we update in Sales Alert of Slack?","Admin","","","6a71f9c3e83e07ce06efc05e","false","","","Checklist","","Not Acknowledged","1","6a71f9c3ad21a1604469facd","2026-08-04T14:40:03.830000","2026-08-04T14:40:03.830000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Has Operation Support confirmed when they are planning on meeting the location and time they are meeting (This can be done preferably by SMS or Email)","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","16","6a70bbfba840543780106e88","2026-08-03T16:04:11.470000","2026-08-03T16:04:11.470000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we schedule an Internal BEO discussion with the instructor and Event Team Lead?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","15","6a70bbfba93e20405d76b202","2026-08-03T16:04:11.406000","2026-08-03T16:04:11.406000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","CC form","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","14","6a70bbfbd31f59d018ca9e0a","2026-08-03T16:04:11.330000","2026-08-03T16:04:11.330000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance and Headcount DUE","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","13","6a70bbfbaee275f54f080c46","2026-08-03T16:04:11.255000","2026-08-03T16:04:11.255000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance Invoice Number","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","12","6a70bbf9d0998f5f647a6b54","2026-08-03T16:04:09.255000","2026-08-03T16:04:09.255000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send an event flow reminder email?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","11","6a70bbf919581691f6ad123c","2026-08-03T16:04:09.121000","2026-08-03T16:04:09.121000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Final HC","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","10","6a70bbf9c9da2e189acbcf1e","2026-08-03T16:04:09.061000","2026-08-03T16:04:09.061000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","BEO?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","9","6a70bbf9ef6f9ff687e8f89e","2026-08-03T16:04:09.004000","2026-08-03T16:04:09.004000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","If Yes, How many drink tickets / beverages per person?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","8","6a70bbf8904bcf8d691f9d36","2026-08-03T16:04:08.763000","2026-08-03T16:04:08.763000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Interest in consumption on-site Y or N (Includes: drink tickets)","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","7","6a70bbf8c4d5c7e16ea31bcd","2026-08-03T16:04:08.346000","2026-08-03T16:04:08.346000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send it to supplier?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","6","6a70bbf8dda985b5641fd4a8","2026-08-03T16:04:08.242000","2026-08-03T16:04:08.242000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Add Ons: Logo'd aprons, glassware and Cheese board","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","5","6a70bbf81f9cb0bffa94be76","2026-08-03T16:04:08.160000","2026-08-03T16:04:08.160000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Participation List - Link","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","4","6a70bbf86c9609dce048ff89","2026-08-03T16:04:08.074000","2026-08-03T16:04:08.074000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Workflow document","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","3","6a70bbf7727ca5aed2ba2766","2026-08-03T16:04:07.992000","2026-08-03T16:04:07.992000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Is it documented in Fareharbor?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","2","6a70bbf7ac7d0e85939fc064","2026-08-03T16:04:07.877000","2026-08-03T16:04:07.877000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we update in Sales Alert of Slack?","Admin","","","6a70bbf618dd7f79c7933ae6","false","","","Checklist","","Not Acknowledged","1","6a70bbf786285d5206c7811f","2026-08-03T16:04:07.661000","2026-08-03T16:04:07.661000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Has Operation Support confirmed when they are planning on meeting the location and time they are meeting (This can be done preferably by SMS or Email)","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","16","6a6ccec2a125140fcb1075d9","2026-07-31T16:35:14.198000","2026-07-31T16:35:14.198000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we schedule an Internal BEO discussion with the instructor and Event Team Lead?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","15","6a6ccec27f6ee0d72149eaa2","2026-07-31T16:35:14.135000","2026-07-31T16:35:14.135000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","CC form","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","14","6a6ccec27559c483b3820049","2026-07-31T16:35:14.074000","2026-07-31T16:35:14.074000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance and Headcount DUE","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","13","6a6ccec207365cfd5ea00557","2026-07-31T16:35:14.014000","2026-07-31T16:35:14.014000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance Invoice Number","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","12","6a6ccec124b9d3439c04465b","2026-07-31T16:35:13.892000","2026-07-31T16:35:13.892000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send an event flow reminder email?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","11","6a6ccec14a28afc124b722d6","2026-07-31T16:35:13.829000","2026-07-31T16:35:13.829000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Final HC","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","10","6a6ccec17cb9218719bd196a","2026-07-31T16:35:13.664000","2026-07-31T16:35:13.664000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","BEO?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","9","6a6ccec10cef9f504ba4813b","2026-07-31T16:35:13.534000","2026-07-31T16:35:13.534000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","If Yes, How many drink tickets / beverages per person?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","8","6a6ccec1566e06a54dc55768","2026-07-31T16:35:13.429000","2026-07-31T16:35:13.429000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Interest in consumption on-site Y or N (Includes: drink tickets)","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","7","6a6ccec1061bd7844e3676fa","2026-07-31T16:35:13.376000","2026-07-31T16:35:13.376000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send it to supplier?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","6","6a6ccec1026e1a0836e8a926","2026-07-31T16:35:13.316000","2026-07-31T16:35:13.316000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Add Ons: Logo'd aprons, glassware and Cheese board","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","5","6a6ccec17f90df8246ce43a4","2026-07-31T16:35:13.253000","2026-07-31T16:35:13.253000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Participation List - Link","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","4","6a6ccec17559c483b3820047","2026-07-31T16:35:13.182000","2026-07-31T16:35:13.182000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Workflow document","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","3","6a6ccec17a5f214dc176c930","2026-07-31T16:35:13.126000","2026-07-31T16:35:13.126000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Is it documented in Fareharbor?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","2","6a6ccec1abade121b3f8300a","2026-07-31T16:35:13.068000","2026-07-31T16:35:13.068000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we update in Sales Alert of Slack?","Admin","","","6a6ccec02d2664fb58d44015","false","","","Checklist","","Not Acknowledged","1","6a6ccec0f057f013308716fe","2026-07-31T16:35:12.937000","2026-07-31T16:35:12.937000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Has Operation Support confirmed when they are planning on meeting the location and time they are meeting (This can be done preferably by SMS or Email)","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","16","6a636cd8cd7ab8ba1dff70e3","2026-07-24T13:47:04.821000","2026-07-24T13:47:04.821000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we schedule an Internal BEO discussion with the instructor and Event Team Lead?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","15","6a636cd88decbef6915fbcb8","2026-07-24T13:47:04.579000","2026-07-24T13:47:04.579000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","CC form","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","14","6a636cd8cfa2a3acb9a12817","2026-07-24T13:47:04.399000","2026-07-24T13:47:04.399000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance and Headcount DUE","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","13","6a636cd8e6b381d9da2b9ad5","2026-07-24T13:47:04.203000","2026-07-24T13:47:04.203000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance Invoice Number","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","12","6a636cd88ae098d446ffd91d","2026-07-24T13:47:04.021000","2026-07-24T13:47:04.021000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send an event flow reminder email?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","11","6a636cd78064548c28c448b7","2026-07-24T13:47:03.755000","2026-07-24T13:47:03.755000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Final HC","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","10","6a636cd71ca0c7f4adaa6a61","2026-07-24T13:47:03.578000","2026-07-24T13:47:03.578000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","BEO?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","9","6a636cd79479203bf2c25116","2026-07-24T13:47:03.328000","2026-07-24T13:47:03.328000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","If Yes, How many drink tickets / beverages per person?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","8","6a636cd7679e4202caa4fb33","2026-07-24T13:47:03.001000","2026-07-24T13:47:03.001000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Interest in consumption on-site Y or N (Includes: drink tickets)","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","7","6a636cd64c3dfab93e8d9801","2026-07-24T13:47:02.816000","2026-07-24T13:47:02.816000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send it to supplier?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","6","6a636cd68743c9355c446bc7","2026-07-24T13:47:02.619000","2026-07-24T13:47:02.619000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Add Ons: Logo'd aprons, glassware and Cheese board","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","5","6a636cd67913f6882aa504df","2026-07-24T13:47:02.371000","2026-07-24T13:47:02.371000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Participation List - Link","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","4","6a636cd697041cf94d8893d9","2026-07-24T13:47:02.180000","2026-07-24T13:47:02.180000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Workflow document","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","3","6a636cd5126c17ced063bf70","2026-07-24T13:47:01.893000","2026-07-24T13:47:01.893000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Is it documented in Fareharbor?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","2","6a636cd50c14c794f1e50db2","2026-07-24T13:47:01.724000","2026-07-24T13:47:01.724000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we update in Sales Alert of Slack?","Admin","","","6a636cd27082ba6bfe14737f","false","","","Checklist","","Not Acknowledged","1","6a636cd5cf5264d7f0a03916","2026-07-24T13:47:01.471000","2026-07-24T13:47:01.471000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Has Operation Support confirmed when they are planning on meeting the location and time they are meeting (This can be done preferably by SMS or Email)","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","16","6a6337f0416010a4a85d6047","2026-07-24T10:01:20.860000","2026-07-24T10:01:20.860000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we schedule an Internal BEO discussion with the instructor and Event Team Lead?","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","15","6a6337f03c4dcb7b190a7182","2026-07-24T10:01:20.560000","2026-07-24T10:01:20.560000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","CC form","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","14","6a6337f056c86d8e0e6d31f6","2026-07-24T10:01:20.300000","2026-07-24T10:01:20.300000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance and Headcount DUE","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","13","6a6337f0d491c8b4eccd2951","2026-07-24T10:01:20.068000","2026-07-24T10:01:20.068000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Remaining Balance Invoice Number","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","12","6a6337effe6c54212dfed78c","2026-07-24T10:01:19.826000","2026-07-24T10:01:19.826000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Did we send an event flow reminder email?","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","11","6a6337efe68bc96909f6f375","2026-07-24T10:01:19.529000","2026-07-24T10:01:19.529000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","Final HC","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","10","6a6337ef338cb613b939b79f","2026-07-24T10:01:19.197000","2026-07-24T10:01:19.198000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"","","","","BEO?","Admin","","","6a6337eb0b4f0f569632ab81","false","","","Checklist","","Not Acknowledged","9","6a6337ef02cf0c359c7d7fcd","2026-07-24T10:01:19.027000","2026-07-24T10:01:19.027000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
